# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
3:7:14	1260	788	Fixation	1247.6	796.8	5	----	S2
3:7:15	1266	776	Fixation	1250.67	793.333	6	----	S2
3:7:16	1327	782	--------	-9999	-9999	0	----	S2
3:7:17	1318	788	--------	-9999	-9999	1	----	S2
3:7:18	1247	796	--------	-9999	-9999	2	----	S2
3:7:19	569	841	--------	-9999	-9999	3	----	S2
3:7:20	323	859	--------	-9999	-9999	0	----	S2
3:7:21	313	856	--------	-9999	-9999	1	----	S2
3:7:22	308	846	--------	-9999	-9999	2	----	S2
3:7:23	317	859	--------	-9999	-9999	3	----	S2
3:8:0	237	859	--------	-9999	-9999	0	----	S2
3:8:1	245	862	--------	-9999	-9999	1	----	S2
3:8:2	261	861	--------	-9999	-9999	2	----	S2
3:8:3	255	858	--------	-9999	-9999	3	----	S2
3:8:4	259	851	Fixation	255	858	4	----	S2
3:8:5	237	841	Fixation	251.4	854.6	5	----	S2
3:8:6	257	856	Fixation	252.333	854.833	6	----	S2
3:8:7	305	844	--------	-9999	-9999	0	----	S2
3:8:8	300	851	--------	-9999	-9999	1	----	S2
3:8:9	297	836	--------	-9999	-9999	2	----	S2
3:8:10	307	838	--------	-9999	-9999	3	----	S2
3:8:11	300	837	Fixation	301	840.5	4	----	S2
3:8:12	310	841	Fixation	302.8	840.6	5	----	S2
3:8:13	301	830	Fixation	302.5	838.833	6	----	S2
3:8:14	308	847	Fixation	303.286	840	7	----	S2
3:8:15	294	830	Fixation	302.125	838.75	8	----	S2
3:8:16	350	818	--------	-9999	-9999	0	----	S2
3:8:17	360	829	--------	-9999	-9999	1	----	S2
3:8:18	361	832	--------	-9999	-9999	2	----	S2
3:8:19	357	834	--------	-9999	-9999	3	----	S2
3:8:20	385	835	Fixation	365.75	832.5	4	----	S2
3:8:21	473	839	--------	-9999	-9999	0	----	S2
